Capítulo (Nro);Capítulo (Nombre);Grupo de Enfermedad;Código 1ª Jerarquía;Categoría 1ª Jerarquía;Código 2ª Jerarquía;Categoría 2ª Jerarquía;Observaciones
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A00;Cólera;A00.0;Cólera debido a Vibrio cholerae O1, biotipo cholerae;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A00;Cólera;A00.1;Cólera debido a Vibrio cholerae O1, biotipo El Tor;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A00;Cólera;A00.9;Cólera, no especificado;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.0;Fiebre tifoidea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.1;Fiebre paratifoidea;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.2;Fiebre paratifoidea B;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.3;Fiebre paratifoidea C;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A01;Fiebres tifoidea y paratifoidea;A01.4;Fiebre paratifoidea, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.0;Enteritis debida a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.1;Sepsis debida a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.2;Infecciones localizadas debidas a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.8;Otras infecciones especificadas como debidas a Salmonella;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A02;Otras infecciones debidas a Salmonella;A02.9;Infección debida a Salmonella, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.0;Shigelosis debida a Shigella dysenteriae;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.1;Shigelosis debida a Shigella flexneri;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.2;Shigelosis debida a Shigella boydii;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.3;Shigelosis debida a Shigella sonnei;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A03;Shigelosis;A03.8;Otras shigelosis;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.0;Infección debida a Escherichia coli enteropatógena;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.1;Infección debida a Escherichia coli enterotoxígena;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.2;Infección debida a Escherichia coli enteroinvasiva;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.3;Infección debida a Escherichia coli enterohemorrágica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.4;Otras infecciones intestinales debidas a Escherichia coli;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.5;Enteritis debida a Campylobacter;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.6;Enteritis debida a Yersinia enterocolitica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.7;Enterocolitis debida a Clostridium difficile;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.8;Otras infecciones intestinales bacterianas especificadas;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A04.9;Infección intestinal bacteriana, no especificada;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.0;Intoxicación alimentaria estafilocócica;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.1;Botulismo;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.2;Intoxicación alimentaria debida a Clostridium perfringens;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.3;Intoxicación alimentaria debida a Vibrio parahaemolyticus;
I;Ciertas enfermedades infecciosas y parasitarias (A00–B99);Enfermedades infecciosas intestinales;A04;Otras infecciones intestinales bacterianas;A05.4;Intoxicación alimentaria debida a Bacillus cereus;
